序号,编号,ATA章节号,ATA章节号,来源,型号,名称,件号,部件型号,适用性,维修描述,备注,基准h,最小值h,最大值h,基准t,最小值t,最大值t,基准类型d,基准d,偏差类型d,最小值d,最大值d,基准e,最小值e,最大值e
44,FKH-5M,,,维修大纲,FKH-5M,发电机控制盒,FKH-5M,,适用性,离位校验,,500,,,,,,,,,,,,,
45,CJ-400D,,,维修大纲,CJ-400D,差动底限保护器,CJ-400D,,适用性,离位校验,,500,,,,,,,,,,,,,
46,ZAZ-1,,,维修大纲,ZAZ-1,直流指示器,ZAZ-1,,适用性,在位通电检查,,400,,,,,,,,,,,,,
47,ZAV-3,,,维修大纲,ZAV-3,电流电压表,ZAV-3,,适用性,在位通电检查,,400,,,,,,,,,,,,,
48,LC-2,,,履历本,LC-2,磁罗盘,LC-2,,适用性,翻  修,,3000,,,,,,年,5,,,,,,
49,BRQ80-IA,,,履历本,BRQ80-IA,航空用空气压力表,BRQ80-IA,,适用性,翻  修,,3000,,,,,,年,6,,,,,,
50,BRQ60-IA,,,履历本,BRQ60-IA,航空用空气压力表,BRQ60-IA,,适用性,翻  修,,3000,,,,,,年,6,,,,,,
51,301,,,履历本,301,航空时钟,301,,适用性,翻  修,,,,,,,,年,5,,,,,,
52,ZWH-1,,,履历本,ZWH-1,温度指示器,ZWH-1,,适用性,翻  修,,3000,,,,,,年,8,,,,,,
53,ZWY-1,,,履历本,ZWY-1,温度压力指示器,ZWY-1,,适用性,翻  修,,3000,,,,,,年,5,,,,,,
54,K1227,,,履历本,K1227,无线电航向指示器,K1227,,适用性,翻  修,,3500,,,,,,年,5,,,,,,
55,Y5-4100-00,,,履历本,Y5-4100-00,起落架,Y5-4100-00,,适用性,翻  修,,,,,5500,,,,,,,,,,
56,GY1,,,履历本,GY1,压力传感器,GY1,,适用性,翻  修,,800,,,,,,年,5,,,,,,
57,BSM-9F(CD-4),,,履历本,BSM-9F(CD-4),磁电机,BSM-9F(CD-4),ASZ-62IR-6,适用性,翻  修,,,,,,,,,,,,1000,1000,,
58,GSN-3000M(2F-3),,,履历本,GSN-3000M(2F-3),发电机,GSN-3000M(2F-3),ASZ-62IR-6,适用性,翻  修,,,,,,,,,,,,1000,1000,,
59,AKM-62IRA(QHQ-6),,,履历本,AKM-62IRA(QHQ-6),汽化器,AKM-62IRA(QHQ-6),ASZ-62IR-6,适用性,翻  修,,,,,,,,,,,,1000,1000,,
60,MSz-8A(CB-13),,,履历本,MSz-8A(CB-13),滑油泵,MSz-8A(CB-13),ASZ-62IR-6,适用性,翻  修,,,,,,,,,,,,1000,1000,,
61,TCM-25,,,履历本,TCM-25,离心滑油滤,TCM-25,ASZ-62IR-6,适用性,翻  修,,,,,,,,,,,,1000,1000,,
62,R9SM2(TS-7),,,履历本,R9SM2(TS-7),调速器,R9SM2(TS-7),ASZ-62IR-6,适用性,翻  修,,,,,,,,,,,,1000,1000,,
63,BNK-12BK(XB-13),,,履历本,BNK-12BK(XB-13),汽油泵,BNK-12BK(XB-13),ASZ-62IR-6,适用性,翻  修,,,,,,,,,,,,1000,1000,,
64,RIM-U-24IR(DG-27A),,,履历本,RIM-U-24IR(DG-27A),起动机,RIM-U-24IR(DG-27A),ASZ-62IR-6,适用性,翻  修,,,,,,,,,,,,1000,1000,,
65,AK-50P-12(KY-2),,,履历本,AK-50P-12(KY-2),空压机,AK-50P-12(KY-2),ASZ-62IR-6,适用性,翻  修,,,,,,,,,,,,1000,1000,,

